Crop Common Name ,Disease Name (Type),Scientific name,Treatment Methods
ಭತ್ತ,ಕಾಳು ಬಣ್ಣಗೆಡುವುದು (Grain Discoloration),ಶಿಲೀಂಧ್ರ ಸಮೂಹ (ಹೆಲ್ಮಿಂಥೋಸ್ಪೋರಿಯಮ್ / ಫೈಲೋಸ್ಟಿಕ್ಟಾ),ಕಾಳುಗಳು ಕಪ್ಪು ಅಥವಾ ಕಂದು ಬಣ್ಣಕ್ಕೆ ತಿರುಗಿ ಬೆಲೆ ಕಡಿಮೆಯಾಗುತ್ತದೆ. ಹಾಲು ತುಂಬುವ ಹಂತದಲ್ಲಿ ಮ್ಯಾಂಕೋಜೆಬ್ ಮತ್ತು ಕಾರ್ಬೆಂಡಾಜಿಮ್ ಸಿಂಪಡಿಸಿ.
ಭತ್ತ,ಖೈರಾ ರೋಗ (ಸತುವಿನ ಕೊರತೆ),ಸತುವಿನ ಕೊರತೆ,ಎಲೆಗಳ ಮೇಲೆ ತುಕ್ಕು ಬಣ್ಣದ ಕಂದು ಚುಕ್ಕೆಗಳು ಕಾಣುತ್ತವೆ. 1 ಲೀ ನೀರಿಗೆ 5g ಜಿಂಕ್ ಸಲ್ಫೇಟ್ ಮತ್ತು 2.5g ಸುಣ್ಣ ಬೆರೆಸಿ ಸಿಂಪಡಿಸಿ. ಮಣ್ಣಿಗೆ ಎಕರೆಗೆ 10-15 ಕೆಜಿ ಜಿಂಕ್ ಸಲ್ಫೇಟ್ ಹಾಕಿ.
ಭತ್ತ,ಬ್ಯಾಕ್ಟೀರಿಯಾ ಗೆರೆ ರೋಗ (Leaf Streak),ಜಾಂಥೋಮೋನಾಸ್ ಒರೈಝಿಕೋಲಾ,ಎಲೆಗಳ ಮೇಲೆ ತೆಳುವಾದ ಪಾರದರ್ಶಕ ಗೆರೆಗಳು ಕಾಣುತ್ತವೆ. ಸ್ಟ್ರೆಪ್ಟೋಸೈಕ್ಲಿನ್ ಮತ್ತು ತಾಮ್ರದ ಆಕ್ಸಿಕ್ಲೋರೈಡ್ ಸಿಂಪಡಿಸಿ. ಅತಿಯಾದ ಯೂರಿಯಾ ಬೇಡ.
ಭತ್ತ,ಕಿರಿದಾದ ಕಂದು ಎಲೆ ಮಚ್ಚೆ,ಸರ್ಕೋಸ್ಪೊರಾ ಜಾನ್ಸಿಯಾನಾ,ಎಲೆಗಳ ಮೇಲೆ ಸಣ್ಣ ಕಂದು ಗೆರೆಗಳು ಕಾಣುತ್ತವೆ. ಇದು ಪೊಟ್ಯಾಷ್ ಕೊರತೆಯ ಸಂಕೇತ. ಪ್ರೊಪಿಕೋನಾಜೋಲ್ ಸಿಂಪಡಿಸಿ ಮತ್ತು ಮಣ್ಣಿಗೆ ಪೊಟ್ಯಾಷ್ ಗೊಬ್ಬರ ನೀಡಿ.
ಭತ್ತ,ಉಫ್ರಾ ರೋಗ (Ufra - ನುಸಿ),ಡಿಟಿಲೆಂಚಸ್ ಅಂಗಸ್ಟಸ್,ಮಣ್ಣಿನಲ್ಲಿರುವ ಸಣ್ಣ ಹುಳುಗಳಿಂದ ಬರುತ್ತದೆ. ಎಕರೆಗೆ 10 ಕೆಜಿ ಕಾರ್ಬೋಫ್ಯೂರಾನ್ ಹರಳುಗಳನ್ನು ಬಳಸಿ. ಕೊಯ್ಲಿನ ನಂತರ ಹಳೆಯ ಬುಡಗಳನ್ನು ಸುಟ್ಟು ಹಾಕಿ.
ಭತ್ತ,ಉದ್ಬತ್ತ ರೋಗ (Udbatta),ಎಫೆಲಿಸ್ ಒರೈಝೆ,ಭತ್ತದ ತೆನೆಗೆ ಬದಲಾಗಿ ಬೆಳ್ಳನೆಯ ಊದಬತ್ತಿಯಂತಹ ದಂಡೆ ಹೊರಬರುತ್ತದೆ. ಬಿತ್ತನೆ ಮುನ್ನ ಬೀಜೋಪಚಾರ ಮಾಡಿ. ಇಂತಹ ತೆನೆ ಕಂಡ ತಕ್ಷಣ ಕಿತ್ತು ಹೂತುಹಾಕಿ.
ಭತ್ತ,ಎಲೆ ಸುಟ್ಟ ರೋಗ (Leaf Scald),ಮೈಕ್ರೋಡೋಕಿಯಮ್ ಒರೈಝೆ,ಎಲೆಯ ತುದಿಗಳು ಬಿಳಿಯಾಗಿ ಸುಟ್ಟಂತೆ ಕಾಣುತ್ತವೆ. ಕಾರ್ಬೆಂಡಾಜಿಮ್ ಸಿಂಪಡಿಸಿ. ಮಳೆಗಾಲದಲ್ಲಿ ಯೂರಿಯಾ ಜಾಸ್ತಿ ಬಳಸಬೇಡಿ.
ಭತ್ತ,ಕಾಳು ಕಾಡಿಗೆ ರೋಗ (Kernel Smut),ಟಿಲ್ಲೆಟಿಯಾ ಬಾರ್ಕ್ಲಯಾನಾ,ಕೆಲವು ಕಾಳುಗಳು ಕಪ್ಪು ಪುಡಿಯಾಗಿ ಬದಲಾಗುತ್ತವೆ. ಬಿತ್ತನೆ ಮುನ್ನ ಬೀಜೋಪಚಾರ ಮಾಡಿ. ಬೂಟಿಂಗ್ ಹಂತದಲ್ಲಿ ಪ್ರೊಪಿಕೋನಾಜೋಲ್ ಸಿಂಪಡಿಸಿ.
ಅಕ್ಕಿ,ಬೆಂಕಿ ರೋಗ (Rice Blast),ಮ್ಯಾಗ್ನಾಪೋರ್ಥೆ ಒರೈಝೆ,"ಎಲೆಗಳ ಮೇಲೆ ಕಣ್ಣಿನ ಆಕಾರದ ಅಥವಾ ದೋಣಿ ಆಕಾರದ ಬೂದು ಮಚ್ಚೆಗಳು ಕಾಣುತ್ತವೆ. ಚಿಕಿತ್ಸೆಗೆ 1 ಲೀಟರ್ ನೀರಿಗೆ 0.6 ಗ್ರಾಂ ಟ್ರೈಸೈಕ್ಲಾಜೋಲ್ ಅಥವಾ 1 ಗ್ರಾಂ ಕಾರ್ಬೆಂಡಾಜಿಮ್ ಬೆರೆಸಿ ಸಿಂಪಡಿಸಿ. ಯೂರಿಯಾ ಗೊಬ್ಬರವನ್ನು ಒಂದೇ ಬಾರಿಗೆ ಹಾಕಬೇಡಿ, ಕಂತುಗಳಲ್ಲಿ ನೀಡುವುದರಿಂದ ಗಿಡವು ರೋಗಕ್ಕೆ ತುತ್ತಾಗುವುದು ತಪ್ಪುತ್ತದೆ. ಬಿತ್ತನೆ ಮುನ್ನ ಬೀಜೋಪಚಾರ ಮರೆಯಬೇಡಿ."
ಅಕ್ಕಿ,ಬ್ಯಾಕ್ಟೀರಿಯಾ ಎಲೆ ಕಮರು ರೋಗ,ಜಾಂಥೋಮೋನಾಸ್ ಒರೈಝೆ,ಎಲೆಗಳ ತುದಿಯಿಂದ ಹಳದಿ ಅಥವಾ ಬಿಳಿ ಬಣ್ಣದ ಅಲೆಅಲೆಯಾದ ಗೆರೆಗಳು ಕಾಣಿಸಿಕೊಳ್ಳುತ್ತವೆ. ಹರಡುವಿಕೆಯನ್ನು ತಡೆಯಲು ಸ್ಟ್ರೆಪ್ಟೋಸೈಕ್ಲಿನ್ (1 ಗ್ರಾಂ ಅನ್ನು 10 ಲೀಟರ್ ನೀರಿಗೆ) ಮತ್ತು ತಾಮ್ರದ ಆಕ್ಸಿಕ್ಲೋರೈಡ್ (20 ಗ್ರಾಂ) ಬೆರೆಸಿ ಸಿಂಪಡಿಸಿ. ಸಾರಜನಕ (Nitrogen) ಗೊಬ್ಬರ ಕಡಿಮೆ ಮಾಡಿ ಮತ್ತು ಹೊಲದಿಂದ 3 ದಿನಗಳ ಕಾಲ ನೀರನ್ನು ಬಸಿದು ಹೊರಹಾಕಿ.
ಅಕ್ಕಿ,ಕಂದು ಮಚ್ಚೆ ರೋಗ (Brown Spot),ಬೈಪೋಲಾರಿಸ್ ಒರೈಝೆ,"ಎಲೆಗಳ ಮೇಲೆ ಎಳ್ಳಿನ ಗಾತ್ರದ ಸಣ್ಣ ಕಂದು ಬಣ್ಣದ ಚುಕ್ಕೆಗಳು ಕಾಣುತ್ತವೆ. ಇದು ಹೆಚ್ಚಾಗಿ ಸತ್ವವಿಲ್ಲದ ಅಥವಾ ಪೋಷಕಾಂಶದ ಕೊರತೆಯಿರುವ ಮಣ್ಣಿನಲ್ಲಿ ಬರುತ್ತದೆ. ಇದನ್ನು ""ಬಡ ರೈತನ ಮಣ್ಣಿನ ರೋಗ"" ಎಂದೂ ಕರೆಯುತ್ತಾರೆ. ಚಿಕಿತ್ಸೆಗೆ ಮ್ಯಾಂಕೋಜೆಬ್ ಸಿಂಪಡಿಸಿ. ಮಣ್ಣಿನ ಆರೋಗ್ಯ ಸುಧಾರಿಸಲು ಸತು (Zinc) ಮತ್ತು ಪೊಟ್ಯಾಷ್ ಗೊಬ್ಬರ ನೀಡಿ."
ಅಕ್ಕಿ,ಎಲೆಕೋಶ ಕಮರು ರೋಗ (Sheath Blight),ರೈಜೋಕ್ಟೋನಿಯಾ ಸೊಲಾನಿ,ನೀರಿನ ಮಟ್ಟದ ಹತ್ತಿರ ಗಿಡದ ಬುಡದ ಮೇಲೆ ಹಾವಿನ ಚರ್ಮದಂತಹ ದೊಡ್ಡ ಬೂದು ಮಚ್ಚೆಗಳು ಕಾಣುತ್ತವೆ. 1 ಲೀಟರ್ ನೀರಿಗೆ 2 ಮಿಲಿ ಹೆಕ್ಸಾಕೋನಾಜೋಲ್ ಅಥವಾ ವ್ಯಾಲಿಡಾಮೈಸಿನ್ ಬೆರೆಸಿ ಗಿಡದ ಬುಡಕ್ಕೆ ತಗಲುವಂತೆ ಸಿಂಪಡಿಸಿ. ಗಿಡಗಳನ್ನು ಅತಿ ಒತ್ತಾಗಿ ನಾಟಿ ಮಾಡಬೇಡಿ ಮತ್ತು ಬದುಗಳಲ್ಲಿರುವ ಕಳೆ ನಾಶಪಡಿಸಿ.
ಅಕ್ಕಿ,ಖೈರಾ ರೋಗ (ಸತುವಿನ ಕೊರತೆ),ಸತುವಿನ ಕೊರತೆ,ಎಳೆಯ ಎಲೆಗಳು ಬುಡದಲ್ಲಿ ಹಳದಿಯಾಗಿ ನಂತರ ತುಕ್ಕು ಬಣ್ಣದ ಕಂದು ಚುಕ್ಕೆಗಳಾಗುತ್ತವೆ. ಚಿಕಿತ್ಸೆಗೆ 1 ಲೀ ನೀರಿಗೆ 5 ಗ್ರಾಂ ಜಿಂಕ್ ಸಲ್ಫೇಟ್ ಮತ್ತು 2.5 ಗ್ರಾಂ ಸುಣ್ಣ ಬೆರೆಸಿ ಸಿಂಪಡಿಸಿ. 7-10 ದಿನಗಳಲ್ಲಿ ಎಲೆ ಹಸಿರಾಗುತ್ತದೆ. ಮುಂದಿನ ಬೆಳೆಗೆ ಮಣ್ಣಿಗೆ ಎಕರೆಗೆ 10 ಕೆಜಿ ಜಿಂಕ್ ಸಲ್ಫೇಟ್ ಹಾಕಿ.
ಅಕ್ಕಿ,ಬ್ಯಾಕ್ಟೀರಿಯಾ ಗೆರೆ ರೋಗ,ಜಾಂಥೋಮೋನಾಸ್ ಒರೈಝಿಕೋಲಾ,"ಎಲೆಗಳ ನರಗಳ ನಡುವೆ ತೆಳುವಾದ ಪಾರದರ್ಶಕ ಗೆರೆಗಳು ಕಾಣುತ್ತವೆ. ಇವು ನಂತರ ಕಂದು ಬಣ್ಣಕ್ಕೆ ತಿರುಗುತ್ತವೆ. ಸ್ಟ್ರೆಪ್ಟೋಸೈಕ್ಲಿನ್ ಮತ್ತು ತಾಮ್ರದ ಆಕ್ಸಿಕ್ಲೋರೈಡ್ ಸಿಂಪಡಿಸಿ. ಅತಿಯಾದ ಸಾರಜನಕ ಗೊಬ್ಬರ ಬೇಡ. ಎಲೆಗಳು ಒದ್ದೆಯಾಗಿರುವಾಗ ಹೊಲದಲ್ಲಿ ಓಡಾಡಬೇಡಿ, ಏಕೆಂದರೆ ರೋಗಾಣು ನಿಮ್ಮ ಬಟ್ಟೆ ಮೂಲಕ ಹರಡಬಹುದು."
ಅಕ್ಕಿ,ಕಿರಿದಾದ ಕಂದು ಎಲೆ ಮಚ್ಚೆ,ಸರ್ಕೋಸ್ಪೊರಾ ಜಾನ್ಸಿಯಾನಾ,ಎಲೆಗಳ ಮೇಲೆ ಪೆನ್ಸಿಲ್ ಗುರುತಿನಂತಹ ಸಣ್ಣ ಕಂದು ಗೆರೆಗಳು ಕಾಣುತ್ತವೆ. ಇದು ಗಿಡಕ್ಕೆ ಪೊಟ್ಯಾಷ್ ಗೊಬ್ಬರದ ಅವಶ್ಯಕತೆ ಇದೆ ಎಂಬ ಸಂಕೇತ. ಹತೋಟಿಗೆ ಪ್ರೊಪಿಕೋನಾಜೋಲ್ ಸಿಂಪಡಿಸಿ. ಆರಂಭದಲ್ಲೇ ಪೊಟ್ಯಾಷ್ ಗೊಬ್ಬರ ನೀಡಿದರೆ ಎಲೆಯ ಗೋಡೆಗಳು ಗಟ್ಟಿಯಾಗಿ ರೋಗ ತಡೆಯುವ ಶಕ್ತಿ ಬರುತ್ತದೆ.
ಅಕ್ಕಿ,ಎಲೆ ಸುಟ್ಟ ರೋಗ (Leaf Scald),ಮೈಕ್ರೋಡೋಕಿಯಮ್ ಒರೈಝೆ,ಎಲೆಗಳ ತುದಿಗಳು ಬಿಳಿಯಾಗಿ ಸುಟ್ಟಂತೆ ಕಾಣುತ್ತವೆ ಮತ್ತು ಕಂದು ಬಣ್ಣದ ಅಲೆಅಲೆಯಾದ ಪಟ್ಟಿಗಳಿರುತ್ತವೆ. ರೋಗ ಕಂಡ ತಕ್ಷಣ 1 ಲೀಟರ್ ನೀರಿಗೆ 1 ಗ್ರಾಂ ಕಾರ್ಬೆಂಡಾಜಿಮ್ ಬೆರೆಸಿ ಸಿಂಪಡಿಸಿ. ಮಳೆಗಾಲದಲ್ಲಿ ಅತಿಯಾದ ಯೂರಿಯಾ ಬಳಕೆ ಬೇಡ. ಗಿಡಗಳ ನಡುವೆ ಸರಿಯಾದ ಅಂತರವಿರಲಿ.
ಅಕ್ಕಿ,ತುಂಗ್ರೊ ವೈರಸ್ (Tungro Virus),ರೈಸ್ ತುಂಗ್ರೊ ವೈರಸ್,ಎಲೆಗಳು ತುದಿಯಿಂದ ಕೆಳಕ್ಕೆ ಗಾಢ ಕಿತ್ತಳೆ-ಹಳದಿ ಬಣ್ಣಕ್ಕೆ ತಿರುಗುತ್ತವೆ ಮತ್ತು ಗಿಡ ಬೆಳೆಯುವುದಿಲ್ಲ. ವೈರಸ್ ಹರಡುವ ಹಸಿರು ಜಿಗಿ ಕೀಟಗಳನ್ನು ಕೊಲ್ಲಲು ಇಮಿಡಾಕ್ಲೋಪ್ರಿಡ್ (0.5 ಮಿಲಿ/ಲೀಟರ್) ಸಿಂಪಡಿಸಿ. ರೋಗಗ್ರಸ್ತ ಗಿಡಗಳನ್ನು ತಕ್ಷಣ ಕಿತ್ತು ಕೆಸರಿನಲ್ಲಿ ಹೂತುಹಾಕಿ.
ಅಕ್ಕಿ,ಕೆಂಪು ಪಟ್ಟಿ ರೋಗ (Red Stripe),ಮೈಕ್ರೋಬ್ಯಾಕ್ಟೀರಿಯಂ / ಅಸಿಡೋವೊರಾಕ್ಸ್,ಎಲೆಯ ಉದ್ದಕ್ಕೂ ಗಾಢ ಕೆಂಪು ಅಥವಾ ಕಿತ್ತಳೆ-ಕಂದು ಗೆರೆಗಳು ಕಾಣುತ್ತವೆ. ಮಳೆ ಅಥವಾ ಗಾಳಿ ಹೆಚ್ಚಾದಾಗ ಇದು ಜಾಸ್ತಿ. ಹತೋಟಿಗೆ ತಾಮ್ರದ ಆಕ್ಸಿಕ್ಲೋರೈಡ್ (2.5 ಗ್ರಾಂ/ಲೀಟರ್) ಸಿಂಪಡಿಸಿ. ಹೊಲದಲ್ಲಿ ಅತಿ ಒತ್ತಾಗಿ ಗಿಡಗಳಿದ್ದರೆ ನೀರು ಬೇಗ ಒಣಗದೆ ರೋಗ ಹರಡುತ್ತದೆ.
ಅಕ್ಕಿ,ಎಲೆ ಕಾಡಿಗೆ ರೋಗ (Leaf Smut),ಎಂಟೈಲೋಮಾ ಒರೈಝೆ,ಎಲೆಗಳ ಎರಡೂ ಬದಿಗಳಲ್ಲಿ ಇದ್ದಿಲಿನ ಪುಡಿಯಂತಹ ಸಣ್ಣ ಕಪ್ಪು ಚುಕ್ಕೆಗಳು ಕಾಣುತ್ತವೆ. ಇದು ಇಳುವರಿ ಕಡಿಮೆ ಮಾಡುತ್ತದೆ. ಮ್ಯಾಂಕೋಜೆಬ್ ಅಥವಾ ತಾಮ್ರದ ಆಕ್ಸಿಕ್ಲೋರೈಡ್ ಪ್ರತಿ ಲೀಟರ್ ನೀರಿಗೆ ಬೆರೆಸಿ ಸಿಂಪಡಿಸಿ. ಗಿಡಕ್ಕೆ ನೇರ ಸೂರ್ಯನ ಬೆಳಕು ಚೆನ್ನಾಗಿ ಬೀಳುವಂತೆ ನೋಡಿ.
ದೊಣ್ಣೆ ಮೆಣಸಿನಕಾಯಿ,ಎಲೆ ಚುಕ್ಕೆ ರೋಗ (Cercospora),ಸರ್ಕೋಸ್ಪೊರಾ ಪ್ರಭೇದ,"ಬೂದು ಕೇಂದ್ರ ಮತ್ತು ಕೆಂಪು-ಕಂದು ಅಂಚು ಇರುವ ಸಣ್ಣ ವೃತ್ತಾಕಾರದ ಚುಕ್ಕೆಗಳು ಕಾಣುತ್ತವೆ. ಹತೋಟಿಗೆ ಮ್ಯಾಂಕೋಜೆಬ್ ಅಥವಾ ಕಾರ್ಬೆಂಡಾಜಿಮ್ ಸಿಂಪಡಿಸಿ. ಎಲೆಗಳ ಮೇಲೆ ನೀರು ಚಿಮುಕಿಸಬೇಡಿ, ಏಕೆಂದರೆ ನೀರು ಚಿಮ್ಮಿದಾಗ ರೋಗಾಣು ಹರಡುತ್ತದೆ."
ದೊಣ್ಣೆ ಮೆಣಸಿನಕಾಯಿ,ಬೂದಿ ರೋಗ (Powdery Mildew),ಎರಿಸೈಫಿ ಗ್ರಾಹಿನಿಸ್,"ಎಲೆಯ ಕೆಳಭಾಗದಲ್ಲಿ ಬಿಳಿ ಪುಡಿ ಕಾಣಿಸುತ್ತದೆ, ಎಲೆಯ ಮೇಲ್ಭಾಗದಲ್ಲಿ ಹಳದಿ ಮಚ್ಚೆಗಳಿರುತ್ತವೆ. ಒಣ ಹವೆ ಇದ್ದಾಗ ಇದು ವೇಗವಾಗಿ ಹರಡುತ್ತದೆ. ನೀರಿನಲ್ಲಿ ಕರಗುವ ಗಂಧಕ (3 ಗ್ರಾಂ/ಲೀಟರ್) ಸಿಂಪಡಿಸಿ. ಮನೆ ಮದ್ದಾಗಿ ಬೇಕಿಂಗ್ ಸೋಡಾ ಮತ್ತು ನೀರನ್ನು ಬಳಸಬಹುದು."
ದೊಣ್ಣೆ ಮೆಣಸಿನಕಾಯಿ,ಬ್ಯಾಕ್ಟೀರಿಯಾ ಎಲೆ ಚುಕ್ಕೆ,ಜಾಂಥೋಮೋನಾಸ್ ಪ್ರಭೇದ,"ಎಲೆಗಳ ಮೇಲೆ ಸಣ್ಣ ನೀರಿನಂತಹ ಗಾಢ ಮಚ್ಚೆಗಳು ಕಾಣುತ್ತವೆ, ನಂತರ ಅವು ಕಂದು ಬಣ್ಣದ ಗಂಟುಗಳಂತಾಗುತ್ತವೆ. ಸ್ಟ್ರೆಪ್ಟೋಸೈಕ್ಲಿನ್ ಮತ್ತು ತಾಮ್ರದ ಆಕ್ಸಿಕ್ಲೋರೈಡ್ ಮಿಶ್ರಣ ಮಾಡಿ ಸಿಂಪಡಿಸಿ. ರೋಗಮುಕ್ತ ಬೀಜ ಬಳಸಿ. ಪ್ರತಿ ವರ್ಷ ಒಂದೇ ಜಾಗದಲ್ಲಿ ಮೆಣಸಿನಕಾಯಿ ಬೆಳೆಯಬೇಡಿ."
ದೊಣ್ಣೆ ಮೆಣಸಿನಕಾಯಿ,ಎಲೆ ಮುದುರು ರೋಗ (Leaf Curl),ಲೀಫ್ ಕರ್ಲ್ ವೈರಸ್,ಎಲೆಗಳು ಮೇಲ್ಮುಖವಾಗಿ ಮುರುಟಿಕೊಳ್ಳುತ್ತವೆ ಮತ್ತು ಚರ್ಮದಂತೆ ಗಟ್ಟಿಯಾಗುತ್ತವೆ. ಇದು ಬಿಳಿ ನೊಣಗಳಿಂದ ಹರಡುತ್ತದೆ. ಬಿಳಿ ನೊಣ ಹತೋಟಿಗೆ ಹಳದಿ ಅಂಟು ಬಲೆಗಳನ್ನು ಬಳಸಿ ಮತ್ತು ಬೇವಿನ ಎಣ್ಣೆ ಅಥವಾ ಇಮಿಡಾಕ್ಲೋಪ್ರಿಡ್ ಸಿಂಪಡಿಸಿ.
ದೊಣ್ಣೆ ಮೆಣಸಿನಕಾಯಿ,ಫೈಟೊಪ್ಥೋರಾ ಕಮರು ರೋಗ,ಫೈಟೊಪ್ಥೋರಾ ಪ್ರಭೇದ,ಎಲೆಗಳ ಮೇಲೆ ದೊಡ್ಡ ಕಪ್ಪು ನೀರಿನಂತಹ ಮಚ್ಚೆಗಳು ಕಾಣುತ್ತವೆ ಮತ್ತು ಗಿಡ ಇದ್ದಕ್ಕಿದ್ದಂತೆ ಬಾಡುತ್ತದೆ. ಮಳೆ ಹೆಚ್ಚಾದಾಗ ಇದು ಜಾಸ್ತಿ. ಚಿಕಿತ್ಸೆಗೆ ಮೆಟಾಲಾಕ್ಸಿಲ್ + ಮ್ಯಾಂಕೋಜೆಬ್ ಸಿಂಪಡಿಸಿ. ಹೊಲದಲ್ಲಿ ನೀರು ನಿಲ್ಲದಂತೆ ನೋಡಿಕೊಳ್ಳಿ ಮತ್ತು ಎತ್ತರದ ಪಾತಿಗಳಲ್ಲಿ ಗಿಡ ನಾಟಿ ಮಾಡಿ.
ದೊಣ್ಣೆ ಮೆಣಸಿನಕಾಯಿ,ಮೊಸಾಯಿಕ್ ವೈರಸ್ (Mosaic Virus),ಮೊಸಾಯಿಕ್ ವೈರಸ್,ಎಲೆಗಳ ಮೇಲೆ ತಿಳಿ ಮತ್ತು ಕಡು ಹಸಿರು ಕಲೆಗಳು ಕಾಣುತ್ತವೆ. ಇದು ಜಿಗಿ ಕೀಟಗಳಿಂದ ಅಥವಾ ಮುಟ್ಟುವುದರಿಂದ ಹರಡುತ್ತದೆ. ಜಿಗಿಗಳನ್ನು ಹತೋಟಿ ಮಾಡಿ. ಕೆಲಸದ ಮುನ್ನ ಕೈಗಳನ್ನು ಸಾಬೂನಿನಿಂದ ತೊಳೆಯಿರಿ. ರೋಗಗ್ರಸ್ತ ಗಿಡಗಳನ್ನು ತಕ್ಷಣ ನಾಶಪಡಿಸಿ.
ದೊಣ್ಣೆ ಮೆಣಸಿನಕಾಯಿ,ಹಣ್ಣು ಕೊಳೆ / ಕೊಂಬೆ ಒಣಗುವಿಕೆ,ಕೊಲೆಟೊಟ್ರೈಕಮ್ ಕ್ಯಾಪ್ಸಿಸಿ,ಹಣ್ಣುಗಳ ಮೇಲೆ ಸಣ್ಣ ಕಪ್ಪು ಚುಕ್ಕೆಗಳು ಕಾಣುತ್ತವೆ ಮತ್ತು ಕೊಂಬೆಗಳ ತುದಿಗಳು ಮೇಲಿನಿಂದ ಒಣಗುತ್ತಾ ಬರುತ್ತವೆ. ತಾಮ್ರದ ಆಕ್ಸಿಕ್ಲೋರೈಡ್ (3 ಗ್ರಾಂ/ಲೀಟರ್) ಸಿಂಪಡಿಸಿ. ಅತಿಯಾದ ಸಾರಜನಕ ಬಳಕೆ ಬೇಡ ಮತ್ತು ಹೊಲವನ್ನು ಸ್ವಚ್ಛವಾಗಿಡಿ.
ದೊಣ್ಣೆ ಮೆಣಸಿನಕಾಯಿ,ಸೆಪ್ಟೋರಿಯಾ ಎಲೆ ಮಚ್ಚೆ,ಸೆಪ್ಟೋರಿಯಾ ಪ್ರಭೇದ,ಬಿಳಿ ಕೇಂದ್ರದ ಸಣ್ಣ ವೃತ್ತಾಕಾರದ ಚುಕ್ಕೆಗಳು ಕಾಣುತ್ತವೆ. ಇಡೀ ಗಿಡದ ಎಲೆ ಉದುರಬಹುದು. ಹತೋಟಿಗೆ ಕ್ಲೋರೋಥಲೋನಿಲ್ ಅಥವಾ ಮ್ಯಾಂಕೋಜೆಬ್ ಸಿಂಪಡಿಸಿ. ಕೆಳಗಿನ ಪೀಡಿತ ಎಲೆಗಳನ್ನು ಕಿತ್ತುಹಾಕಿ ಮತ್ತು ಗಾಳಿಯಾಡುವಂತೆ ಮಾಡಿ.
