Fruit Common Name ,Disease Name (Type),Treatment Methods,Scientific name
ಹತ್ತಿ,ಗರಿ ಸಿಕ್ಕಿಕೊಳ್ಳುವುದು / ಕ್ರೌನ್ ಚೋಕ್  (ಪೋಷಕಾಂಶ),ಇದು ಬ್ಯಾಕ್ಟೀರಿಯಾ ರೋಗವಾದ್ದರಿಂದ ಕೇವಲ ಶಿಲೀಂಧ್ರನಾಶಕ ಸಾಲದು. 200 ಲೀಟರ್ ನೀರಿಗೆ 2 ಗ್ರಾಂ ಸ್ಟ್ರೆಪ್ಟೋಸೈಕ್ಲಿನ್ ಮತ್ತು 500 ಗ್ರಾಂ ಕಾಪರ್ ಆಕ್ಸಿಕ್ಲೋರೈಡ್ ಬೆರೆಸಿ ಎಕರೆಗೆ ಸಿಂಪಡಿಸಿ. ಕಪ್ಪು ಚುಕ್ಕೆ ಮುಂದುವರಿದರೆ 15 ದಿನಗಳ ನಂತರ ಮತ್ತೆ ಸಿಂಪಡಿಸಿ. ಎಲೆಗಳ ಮೇಲೆ ನೀರು ಹಾಯಿಸಬೇಡಿ ಮತ್ತು ರೋಗಪೀಡಿತ ಕಾಯಿಗಳನ್ನು ಕಿತ್ತು ಹಾಕಿ.,ದೈಹಿಕ (ಬೋರಾನ್ ಕೊರತೆ)
ಹತ್ತಿ,ಬ್ಯಾಕ್ಟೀರಿಯಾ ಅಂಗಮಾರಿ  (ಬ್ಯಾಕ್ಟೀರಿಯಾ ರೋಗ),ತೇವಾಂಶ ಹೆಚ್ಚಿದ್ದರೆ ಇದು ಬೇಗ ಹರಡುತ್ತದೆ. ಗಿಡಗಳ ನಡುವೆ ಅಂತರವಿದ್ದರೆ ಬಿಸಿಲು ಬಿದ್ದು ಕಾಯಿ ಒಣಗುತ್ತವೆ. ಕೆಂಪು ಚುಕ್ಕೆ ಕಂಡ ಕೂಡಲೇ ಶೇ. 0.1 ರ ಕಾರ್ಬೆಂಡಾಜಿಮ್ ಅಥವಾ ಶೇ. 0.25 ರ ಮ್ಯಾಂಕೋಜೆಬ್ ಸಿಂಪಡಿಸಿ. ಕಾಯಿ ಕಟ್ಟುವಾಗ 15 ದಿನಗಳ ಅಂತರದಲ್ಲಿ 3 ಬಾರಿ ಸಿಂಪಡಿಸಿ. ಅತಿಯಾಗಿ ನೀರು ಕೊಡಬೇಡಿ ಮತ್ತು ಕೊಳೆತ ಕಾಯಿ ತೆಗೆಯಿರಿ.,ಝಾಂಥೋಮೋನಾಸ್ ಆಕ್ಸಾನೋಪೋಡಿಸ್ pv. ಮಾಲ್ವಾಸಿಯಾರಮ್
ಹತ್ತಿ,ಆಂಥ್ರಾಕ್ನೋಸ್ / ಕೆಂಪು ಕೊಳೆತ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಕೀಟಗಳು ಮಾಡಿದ ಗಾಯದ ಮೂಲಕ ಇದು ಬರುತ್ತದೆ. ಮೊದಲು ಕಾಯಿಕೊರಕ ಹುಳು ನಿಯಂತ್ರಿಸಿ. ಬೆಳೆ ಹೆಚ್ಚು ದಟ್ಟವಾಗಿ ಬೆಳೆಯದಂತೆ ನೋಡಿಕೊಳ್ಳಿ. ಮಳೆ ಹೆಚ್ಚಿದ್ದರೆ ಶೇ. 0.3 ರ ಕಾಪರ್ ಆಕ್ಸಿಕ್ಲೋರೈಡ್ ಅಥವಾ ಶೇ. 0.2 ರ ಮ್ಯಾಂಕೋಜೆಬ್ ಸಿಂಪಡಿಸಿ. ಹೊಲದಲ್ಲಿ ನೀರು ನಿಲ್ಲದಂತೆ ಮಾಡಿ.,ಕೊಲೆಟೊಟ್ರೈಕಮ್ ಗಾಸಿಪಿ
ಹತ್ತಿ,ಕಾಯಿ ಕೊಳೆತ / ಬೂದು ಬೂಷ್ಟು  (ಶಿಲೀಂಧ್ರ ರೋಗ),"ಕಾಯಿ ಒಳಗೆ ರೋಗ ಸೇರಿದರೆ ಗುಣಪಡಿಸಲು ಆಗುವುದಿಲ್ಲ, ತಡೆಗಟ್ಟುವುದೇ ದಾರಿ. ತಿಗಣೆ ಮತ್ತು ಹಸಿರು ಹುಳುವನ್ನು ಇಮಿಡಾಕ್ಲೋಪ್ರಿಡ್ ಬಳಸಿ ನಿಯಂತ್ರಿಸಿ. ಹೊಲ ಮತ್ತು ಬದುವಿನಲ್ಲಿ ಕಳೆ ಇಲ್ಲದಂತೆ ಸ್ವಚ್ಛವಾಗಿಡಿ. ಕೀಟಗಳಿಲ್ಲದ ಆರೋಗ್ಯವಂತ ಬೆಳೆಯಿದ್ದರೆ ರೋಗ ಬರುವುದಿಲ್ಲ.",ರಾಮುಲೇರಿಯಾ ಅರಿಯೋಲಾ / ಬೊಟ್ರೈಟಿಸ್
ಹತ್ತಿ,ಒಳ ಕಾಯಿ ಕೊಳೆತ  (ಸಮಸ್ಯೆ),ಪೋಷಕಾಂಶ ಅಥವಾ ನೀರಿನ ಕೊರತೆಯಿಂದ ಇದು ಬರುತ್ತದೆ. ಹೂವು ಬಿಡುವಾಗ ಹೆಚ್ಚು ಸಾರಜನಕ ಗೊಬ್ಬರ ಕೊಡಿ. ಮರಳು ಮಿಶ್ರಿತ ಮಣ್ಣಾಗಿದ್ದರೆ ಸೆಪ್ಟೆಂಬರ್-ಅಕ್ಟೋಬರ್ ನಲ್ಲಿ ತಪ್ಪದೆ ನೀರು ಕೊಡಿ. ಕಾಯಿ ಬೆಳೆಯುವಾಗ ತೇವಾಂಶ ಕಡಿಮೆಯಾಗಬಾರದು. ಸರಿಯಾದ ಗೊಬ್ಬರ ಮತ್ತು ನೀರಿನಿಂದ ಕಾಯಿ ಚೆನ್ನಾಗಿ ಅರಳುತ್ತದೆ.,ನೆಮಾಟೋಸ್ಪೋರಾ ಪ್ರಭೇದ (ಒಳ ಕಾಯಿ ಕೊಳೆತ)
ಹತ್ತಿ,ತಿರಕ್ / ಕಾಯಿ ಅರಳದಿರುವುದು  (ಪೋಷಕಾಂಶ/ನೀರು),ಗಿಡ ಸದೃಢವಾಗಿದ್ದರೆ ರೋಗ ತಡೆಯುತ್ತದೆ. ಸಾಕಷ್ಟು ಪೊಟ್ಯಾಷ್ ಮತ್ತು ಮೆಗ್ನೀಸಿಯಮ್ ಗೊಬ್ಬರ ಕೊಡಿ. ಕಂದು ಚುಕ್ಕೆ ಕಂಡರೆ ಶೇ. 0.1 ರ ಪ್ರೊಪಿಕೊನಜೋಲ್ ಅಥವಾ ಮ್ಯಾಂಕೋಜೆಬ್ ಮತ್ತು ಕಾರ್ಬೆಂಡಾಜಿಮ್ ಮಿಶ್ರಣ ಸಿಂಪಡಿಸಿ. ಬಿದ್ದ ಎಲೆ ಮತ್ತು ಕಾಯಿ ಸುಟ್ಟುಹಾಕಿ. ಒಂದೇ ಹೊಲದಲ್ಲಿ ಸತತವಾಗಿ ಹತ್ತಿ ಬೆಳೆಯಬೇಡಿ.,ದೈಹಿಕ (ಕಾಯಿ ಸರಿಯಾಗಿ ಅರಳದಿರುವುದು)
ಹತ್ತಿ,ಆಲ್ಟರ್ನೇರಿಯಾ ಎಲೆ ಚುಕ್ಕೆ  (ಶಿಲೀಂಧ್ರ ರೋಗ),"ಇದು ವೈರಸ್ ರೋಗ, ಗುಣಪಡಿಸಲು ಆಗುವುದಿಲ್ಲ. ಇದನ್ನು ಹರಡುವ ಥ್ರಿಪ್ಸ್ ಕೀಟಗಳನ್ನು ನಿಯಂತ್ರಿಸಿ. ಬಿತ್ತನೆಗೆ ಮುನ್ನ 1 ಕೆಜಿ ಬೀಜಕ್ಕೆ 7 ಗ್ರಾಂ ಇಮಿಡಾಕ್ಲೋಪ್ರಿಡ್ ಲೇಪಿಸಿ. ಥ್ರಿಪ್ಸ್ ಕಂಡರೆ ಥಯಾಮೆಥಾಕ್ಸಾಮ್ ಅಥವಾ ಡೈಮೆಥೋಯೇಟ್ ಸಿಂಪಡಿಸಿ. ಹೊಲದ ಬದುವಿನಲ್ಲಿರುವ ಪಾರ್ಥೇನಿಯಂ ಕಳೆ ಗಿಡಗಳನ್ನು ನಾಶಪಡಿಸಿ.",ಆಲ್ಟರ್ನೇರಿಯಾ ಮ್ಯಾಕ್ರೋಸ್ಪೋರಾ
ಹತ್ತಿ,ತಂಬಾಕು ಸ್ಟ್ರೀಕ್ ವೈರಸ್  (ವೈರಸ್ ರೋಗ),ದೀರ್ಘಕಾಲ ಮಳೆ ಮತ್ತು ಮೋಡವಿದ್ದರೆ ಇದು ಕಾಣಿಸಿಕೊಳ್ಳುತ್ತದೆ. ನೀರು ನಿಲ್ಲದಂತೆ ಬಸಿಗಾಲುವೆ ಮಾಡಿ. ಮಳೆ ಮುಂದುವರಿದರೆ ಶೇ. 0.3 ರ ಕಾಪರ್ ಆಕ್ಸಿಕ್ಲೋರೈಡ್ ಅಥವಾ ಜೈನೆಬ್ ಸಿಂಪಡಿಸಿ. ಸಾಧ್ಯವಾದರೆ ಕೊಳೆತ ಕಾಯಿ ತೆಗೆಯಿರಿ. ಮುಂದಿನ ಹಂಗಾಮಿನಲ್ಲಿ ಜೋಳದಂತಹ ಬೆಳೆ ಬೆಳೆದರೆ ರೋಗ ಕಡಿಮೆಯಾಗುತ್ತದೆ.,ಟೊಬ್ಯಾಕೋ ಸ್ಟ್ರೀಕ್ ವೈರಸ್ (TSV)
ಹತ್ತಿ,ವೆಟ್ ವೆದರ್ ಬ್ಲೈಟ್  (ಶಿಲೀಂಧ್ರ ರೋಗ),"ಸೋಂಕಿತ ಕಾಯಿ ಮತ್ತು ಎಲೆಗಳನ್ನು ಸುಟ್ಟುಹಾಕಿ. 1 ಲೀಟರ್ ನೀರಿಗೆ 1 ಗ್ರಾಂ ಕಾರ್ಬೆಂಡಾಜಿಮ್ ಅಥವಾ 2.5 ಗ್ರಾಂ ಮ್ಯಾಂಕೋಜೆಬ್ ಸಿಂಪಡಿಸಿ. ಕೀಟಗಳು ಮಾಡಿದ ಗಾಯದ ಮೂಲಕ ಶಿಲೀಂಧ್ರ ಬರುವುದರಿಂದ ಕೀಟ ನಿಯಂತ್ರಣ ಮುಖ್ಯ. ಬೆಳೆ ಒದ್ದೆಯಿದ್ದಾಗ ಹೊಲದಲ್ಲಿ ಕೆಲಸ ಮಾಡಬೇಡಿ, ಗಾಯಗಳಾದರೆ ರೋಗ ಹರಡುತ್ತದೆ.",ರೈಜೋಕ್ಟೋನಿಯಾ ಸೊಲಾನಿ
ಹತ್ತಿ,ರಿಂಗ್ ಸ್ಪಾಟ್ / ವೃತ್ತಾಕಾರದ ಚುಕ್ಕೆ  (ಶಿಲೀಂಧ್ರ ರೋಗ),"ಕಪ್ಪಾದ ಕಾಯಿಗಳನ್ನು ತೆಗೆದು ನಾಶಪಡಿಸಿ. ಕಳೆ ತೆಗೆಯುವಾಗ ಗಿಡಕ್ಕೆ ಗಾಯವಾಗದಂತೆ ಎಚ್ಚರವಹಿಸಿ. ಮುನ್ನೆಚ್ಚರಿಕೆಯಾಗಿ ಮಳೆಯ ನಂತರ ಕಾಪರ್ ಆಕ್ಸಿಕ್ಲೋರೈಡ್ ಸಿಂಪಡಿಸಿ. ಹೊಲದ ಸ್ವಚ್ಛತೆ ಮತ್ತು ಕೀಟ ನಿಯಂತ್ರಣ ಮುಖ್ಯ, ಏಕೆಂದರೆ ಗಾಯವಾದ ಕಾಯಿಗಳಿಗೆ ಇದು ಹೆಚ್ಚು ಬಾಧಿಸುತ್ತದೆ.",ಮೈಕೋಸ್ಪೆರೆಲ್ಲಾ / ಸರ್ಕೋಸ್ಪೋರಾ
ಹತ್ತಿ,ಕಪ್ಪು ಮಸಿ ಕೊಳೆತ  (ಶಿಲೀಂಧ್ರ ರೋಗ),"ಕಾಯಿ ಮೆತ್ತಗಾಗಿ ನೀರಾದರೆ ಉಳಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ. ಕಾಯಿ ಒಡೆದ ತಕ್ಷಣ ತಡಮಾಡದೆ ಕೊಯ್ಲು ಮಾಡಿ. ಕಾಯಿಕೊರಕ ಹುಳುಗಳನ್ನು ನಿಯಂತ್ರಿಸಿ. ಕೊಯ್ಲು ಮಾಡಿದ ಹತ್ತಿಯನ್ನು ಬಿಸಿ ಮತ್ತು ತೇವಾಂಶವಿರುವ ಜಾಗದಲ್ಲಿ ಸಂಗ್ರಹಿಸಬೇಡಿ, ಅದು ಮತ್ತಷ್ಟು ಕೊಳೆಯುತ್ತದೆ.",ಆಸ್ಪರ್ಜಿಲಸ್ ನೈಜರ್
ಸೀತಾಫಲ,ಮೃದು ನೀರು ಕೊಳೆತ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಹಣ್ಣಿನ ಮೇಲೆ ಕಪ್ಪು ತಗ್ಗು ಚುಕ್ಕೆಗಳು ಬಂದು ಹಣ್ಣು ಕಪ್ಪಾಗಿ ಗಟ್ಟಿಯಾಗುತ್ತದೆ. ಬಿದ್ದ ಮತ್ತು ಕೊಳೆತ ಹಣ್ಣುಗಳನ್ನು ಸುಟ್ಟುಹಾಕಿ ತೋಟ ಸ್ವಚ್ಛವಾಗಿಡಿ. ಕಾಯಿ ಚಿಕ್ಕದಿದ್ದಾಗ 1 ಲೀಟರ್ ನೀರಿಗೆ 1 ಗ್ರಾಂ ಕಾರ್ಬೆಂಡಾಜಿಮ್ ಅಥವಾ 2 ಗ್ರಾಂ ಮ್ಯಾಂಕೋಜೆಬ್ ಸಿಂಪಡಿಸಿ. ಕೊಯ್ಲು ಮಾಡುವಾಗ ಹಣ್ಣಿಗೆ ಪೆಟ್ಟಾಗದಂತೆ ನೋಡಿಕೊಳ್ಳಿ.,ರೈಜೋಪಸ್ ಸ್ಟೋಲೋನಿಫರ್
ಸೀತಾಫಲ,ಆಂಥ್ರಾಕ್ನೋಸ್ / ಹಣ್ಣು ಕೊಳೆತ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಹಣ್ಣು ಪೂರ್ತಿ ಕಪ್ಪಾಗಿ ಕಲ್ಲಿನಂತೆ ಗಟ್ಟಿಯಾಗಿ ಗಿಡದಲ್ಲೇ ಒಣಗುತ್ತದೆ. ಗಾಯವಾದ ಹಣ್ಣುಗಳಿಗೆ ಇದು ಹೆಚ್ಚು. ಒಣಗಿದ ಕೊಂಬೆ ಮತ್ತು ಹಣ್ಣುಗಳನ್ನು ತೆಗೆಯಿರಿ. ಕಾಯಿ ಬೆಳೆಯುವಾಗ 1 ಲೀಟರ್ ನೀರಿಗೆ 3 ಗ್ರಾಂ ಕಾಪರ್ ಆಕ್ಸಿಕ್ಲೋರೈಡ್ ಸಿಂಪಡಿಸಿ. ತೊಟ್ಟು ಅಲುಗಾಡಿಸದೆ ಎಚ್ಚರಿಕೆಯಿಂದ ಕೊಯ್ಲು ಮಾಡಿ.,ಎಲ್ಸಿನೋ ಆಂಪೆಲಿನಾ
ಸೀತಾಫಲ,ಕಪ್ಪು ಕೊಳೆತ / ಮಮ್ಮಿ ರೋಗ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಹಣ್ಣಿನ ಮೇಲೆ ಕಪ್ಪು ಅಥವಾ ತುಕ್ಕು ಬಣ್ಣದ ಒರಟು ಚುಕ್ಕೆಗಳು ಬರುತ್ತವೆ. ಬಿಸಿಲು ಬೀಳಲು ಗಿಡವನ್ನು ಕತ್ತರಿಸಿ (ಪ್ರೂನಿಂಗ್). ಕಾಯಿ ಕಟ್ಟಿದ ತಕ್ಷಣ 1 ಲೀಟರ್ ನೀರಿಗೆ 3 ಗ್ರಾಂ ಕಾಪರ್ ಆಕ್ಸಿಕ್ಲೋರೈಡ್ ಅಥವಾ ಶೇ. 1 ರ ಬೋರ್ಡೋ ದ್ರಾವಣ ಸಿಂಪಡಿಸಿ. ತೇವಾಂಶವಿದ್ದರೆ 20 ದಿನ ಬಿಟ್ಟು ಮತ್ತೆ ಸಿಂಪಡಿಸಿ.,ಗಿಗ್ನಾರ್ಡಿಯಾ ಬಿಡ್ವೆಲ್ಲಿ
ಸೀತಾಫಲ,ಕಪ್ಪು ಕ್ಯಾಂಕರ್  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಇದು ಕೀಟವಾದರೂ ಹಣ್ಣಿನ ಮೇಲೆ ಬಿಳಿ ಹತ್ತಿಯಂತಹ ಪದರ ಬೆಳೆದು ಕಪ್ಪು ಮಸಿ ಬರುತ್ತದೆ. ತೋಟದಲ್ಲಿ ಪಾರ್ಥೇನಿಯಂ ಕಳೆ ತೆಗೆಯಿರಿ ಮತ್ತು ಇರುವೆ ಗೂಡುಗಳನ್ನು ನಾಶಪಡಿಸಿ. 1 ಲೀಟರ್ ನೀರಿಗೆ 5 ಮಿ.ಲೀ ಬೇವಿನ ಎಣ್ಣೆ ಅಥವಾ 2 ಮಿ.ಲೀ ಪ್ರೊಫೆನೋಫಾಸ್ ಸಿಂಪಡಿಸಿ. ಕೊಯ್ಲಿನ ನಂತರ ಹಣ್ಣನ್ನು ನೀರಿನಲ್ಲಿ ತೊಳೆದರೆ ಬಿಳಿ ಪದರ ಹೋಗುತ್ತದೆ.,ಡಿಪ್ಲೋಡಿಯಾ ಪ್ರಭೇದ
ಸೀತಾಫಲ,ಹಿಟ್ಟು ತಿಗಣೆ  (ಕೀಟ ಬಾಧೆ),ಹುಳು ಹಣ್ಣಿಗೆ ರಂಧ್ರ ಮಾಡಿ ಒಳಗೆ ತ್ಯಾಜ್ಯ ತುಂಬುವುದರಿಂದ ಹಣ್ಣು ಕೊಳೆಯುತ್ತದೆ. ರಂಧ್ರವಿರುವ ಹಣ್ಣುಗಳನ್ನು ನಾಶಪಡಿಸಿ. ಕಾಯಿ ಗೋಲಿ ಗಾತ್ರದಲ್ಲಿದ್ದಾಗ 1 ಲೀಟರ್ ನೀರಿಗೆ 5 ಮಿ.ಲೀ ಬೇವಿನ ಎಣ್ಣೆ ಅಥವಾ 0.3 ಮಿ.ಲೀ ಸ್ಪಿನೋಸ್ಯಾಡ್ ಸಿಂಪಡಿಸಿ. ಕಾಯಿಗೆ ಕಾಗದದ ಅಥವಾ ಬಟ್ಟೆಯ ಚೀಲ ಹಾಕಿದರೆ ರಾಸಾಯನಿಕ ಇಲ್ಲದೆ ತಡೆಯಬಹುದು.,ಮ್ಯಾಕೊನೆಲ್ಲಿಕಾಕಸ್ ಹಿರ್ಸುಟಸ್
ಸೀತಾಫಲ,ಹಣ್ಣು ಕೊರೆಯುವ ಹುಳು  (ಕೀಟ ಬಾಧೆ),"ಮಳೆಗಾಲದಲ್ಲಿ ಹಣ್ಣಿನ ಮೇಲೆ ಸಣ್ಣ ಕಪ್ಪು ಚುಕ್ಕೆಗಳು ಬರುತ್ತವೆ. ಕಳೆ ತೆಗೆದು ಮರದ ಬುಡ ಸ್ವಚ್ಛವಾಗಿಡಿ. ಕಾಯಿ ಬೆಳೆಯುವಾಗ 1 ಲೀಟರ್ ನೀರಿಗೆ 2.5 ಗ್ರಾಂ ಮ್ಯಾಂಕೋಜೆಬ್ ಅಥವಾ 2 ಗ್ರಾಂ ಕ್ಲೋರೋಥಲೋನಿಲ್ ಸಿಂಪಡಿಸಿ. ಗಿಡಗಳ ನಡುವೆ ಗಾಳಿ ಆಡಲು ಜಾಗವಿರಲಿ, ಮಳೆ ಬಂದರೆ ಹಣ್ಣು ಬೇಗ ಒಣಗಬೇಕು.",ಹೆಲಿಕೋವರ್ಪಾ ಆರ್ಮಿಜೆರಾ
ಸೀತಾಫಲ,ಆಲ್ಟರ್ನೇರಿಯಾ ಹಣ್ಣು ಮಚ್ಚೆ  (ಶಿಲೀಂಧ್ರ ರೋಗ),"ಹಣ್ಣು ಬೆಳೆಯದೆ ಕಲ್ಲಿನಂತೆ ಗಟ್ಟಿಯಾಗಿ ಕಂದಾಗುತ್ತದೆ. ನೀರಿನ ಏರುಪೇರು ಅಥವಾ ಶಿಲೀಂಧ್ರ ಇದಕ್ಕೆ ಕಾರಣ. ಮಣ್ಣಿನಲ್ಲಿ ತೇವಾಂಶ ಕಾಪಾಡಲು ಮಲ್ಚಿಂಗ್ ಮಾಡಿ, ನಿಯಮಿತವಾಗಿ ನೀರು ಕೊಡಿ. ಶಿಲೀಂಧ್ರ ಕಾರಣವಾಗಿದ್ದರೆ 1 ಲೀಟರ್ ನೀರಿಗೆ 3 ಗ್ರಾಂ ಕಾಪರ್ ಆಕ್ಸಿಕ್ಲೋರೈಡ್ ಸಿಂಪಡಿಸಿ.",ಆಲ್ಟರ್ನೇರಿಯಾ ಆಲ್ಟರ್ನೇಟಾ
ಖರ್ಜೂರ,ಕಲ್ಲು ಹಣ್ಣು / ಮಮ್ಮಿಫಿಕೇಶನ್  (ಸಮಸ್ಯೆ/ಶಿಲೀಂಧ್ರ),ಹೂವು ಅರಳುವ ಮುನ್ನವೇ ಗೊಂಚಲು ಕೊಳೆಯುತ್ತದೆ. ಕವಚದ ಮೇಲೆ ತುಕ್ಕು ಬಣ್ಣದ ಕಲೆ ಬಂದು ಹೂವು ಕಪ್ಪಾಗುತ್ತದೆ. ರೋಗ ಬಂದ ಕವಚಗಳನ್ನು ಕಿತ್ತು ಸುಟ್ಟುಹಾಕಿ. ವಸಂತಕಾಲದ ಆರಂಭದಲ್ಲಿ ಕವಚ ಬರುವ ಮುನ್ನ ಶೇ. 1 ರ ಬೋರ್ಡೋ ದ್ರಾವಣ ಅಥವಾ 1 ಲೀಟರ್ ನೀರಿಗೆ 3 ಗ್ರಾಂ ಕಾಪರ್ ಆಕ್ಸಿಕ್ಲೋರೈಡ್ ಸಿಂಪಡಿಸಿ. ಗಂಧಕ ಮತ್ತು ಕಾಪರ್ ಪುಡಿ ಧೂಳಿಸುವುದು ಕೂಡ ಒಳ್ಳೆಯದು.,ಗಿಗ್ನಾರ್ಡಿಯಾ ಬಿಡ್ವೆಲ್ಲಿ (ಕಪ್ಪು ಕೊಳೆತ)
ಖರ್ಜೂರ,ಗೊಂಚಲು ಕೊಳೆ ರೋಗ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ತೇವಾಂಶ ಅಥವಾ ಮಳೆ ಬಂದರೆ ಹಣ್ಣು ಮೆತ್ತಗಾಗಿ ವಿನೆಗರ್ ವಾಸನೆ ಬಂದು ಉದುರುತ್ತದೆ. ಗೊಂಚಲಿಗೆ ಕಾಗದದ ಚೀಲ ಹಾಕಿ ಗಾಳಿ ಆಡುವಂತೆ ಮಾಡಿ. ಹಣ್ಣುಗಳು ಒಂದಕ್ಕೊಂದು ತಾಗದಂತೆ ವಿರಳ ಮಾಡಿ. ಮಳೆ ಜೋರಿದ್ದರೆ ಮಾತ್ರ ಹಣ್ಣಾಗುವ ಹಂತದಲ್ಲಿ 1 ಲೀಟರ್ ನೀರಿಗೆ 2 ಗ್ರಾಂ ಮ್ಯಾಂಕೋಜೆಬ್ ಸಿಂಪಡಿಸಿ.,ಬೊಟ್ರೈಟಿಸ್ ಸಿನೆರಿಯಾ
ಖರ್ಜೂರ,ಹಣ್ಣು ಕೊಳೆತ / ಹುಳಿಯಾಗುವಿಕೆ  (ಶಿಲೀಂಧ್ರ/ಯೀಸ್ಟ್),ಹಣ್ಣಿನ ತೊಟ್ಟು ಮತ್ತು ಎಳೆ ಹಣ್ಣುಗಳು ಇದ್ದಿಲಿನಲ್ಲಿ ಸುಟ್ಟಂತೆ ಕಪ್ಪಾಗಿ ಒಣಗುತ್ತವೆ. ರೋಗ ಬಂದ ಎಲೆ ಮತ್ತು ತೊಟ್ಟುಗಳನ್ನು ಕತ್ತರಿಸಿ ಸುಟ್ಟುಹಾಕಿ. ಕತ್ತರಿಸಿದ ಜಾಗಕ್ಕೆ ಕಾಪರ್ ಆಕ್ಸಿಕ್ಲೋರೈಡ್ ಪೇಸ್ಟ್ ಹಚ್ಚಿ. ಗಿಡದ ಸುಳಿ ಮತ್ತು ಗೊಂಚಲಿಗೆ 1 ಲೀಟರ್ ನೀರಿಗೆ 3 ಗ್ರಾಂ ಕಾಪರ್ ಆಕ್ಸಿಕ್ಲೋರೈಡ್ ಸಿಂಪಡಿಸಿ.,ಹುಳಿ ಕೊಳೆತ (ಅಸಿಟೋಬ್ಯಾಕ್ಟರ್ / ಯೀಸ್ಟ್)
ಖರ್ಜೂರ,ಬ್ಲ್ಯಾಕ್ ಸ್ಕಾರ್ಚ್ / ಕಪ್ಪು ಸುಟ್ಟ ರೋಗ  (ಶಿಲೀಂಧ್ರ ರೋಗ),"ಹಣ್ಣಿನ ತುದಿ ಕಪ್ಪಾಗಿ ಒಣಗುತ್ತದೆ, ಆದರೆ ಉಳಿದ ಹಣ್ಣು ಚೆನ್ನಾಗಿರುತ್ತದೆ. ಇದು ಶಿಲೀಂಧ್ರವಲ್ಲ, ತೇವಾಂಶದ ಬದಲಾವಣೆಯಿಂದ ಆಗುತ್ತದೆ. ಗೊಂಚಲನ್ನು ಆರಂಭದಲ್ಲೇ ತೀರಾ ವಿರಳ ಮಾಡಬೇಡಿ. ಗೊಂಚಲಿನ ಮಧ್ಯೆ ತಂತಿ ಬಳಸಿ ಗಾಳಿ ಆಡುವಂತೆ ಮಾಡಿ. ಮರಕ್ಕೆ ನೀರಿನ ಕೊರತೆಯಾಗದಂತೆ ನೋಡಿಕೊಳ್ಳಿ.",ಸೆರಾಟೋಸಿಸ್ಟಿಸ್ ಪ್ಯಾರಡಾಕ್ಸಾ
